                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8823,                 2.9344,                 1.8075,                0.57413,                  0.337,                0.35679,                0.16074,                 2.1047,                 2.4125,                 1.8867,              0.0033051,              0.0033051,              0.0033051
                      2,                 1.6055,                  1.727,                 1.5595,                0.79987,                0.37778,                0.45153,                0.21754,                 1.8467,                 2.0597,                 1.8808,              0.0066165,              0.0066165,              0.0066165
                      3,                 1.6226,                 1.6901,                  1.563,                0.60334,                0.32992,                0.38359,                 0.1799,                 1.9937,                 2.4725,                 1.9245,              0.0099059,              0.0099059,              0.0099059
                      4,                 1.6692,                 1.7743,                  1.609,                0.48746,                0.24263,                0.23797,                0.09864,                 2.4682,                 3.1061,                 2.2032,               0.009901,               0.009901,               0.009901
                      5,                 1.6665,                 1.7279,                 1.6074,                0.49566,                0.47854,                0.43508,                0.19177,                  2.112,                 2.6701,                 1.9754,               0.009868,               0.009868,               0.009868
                      6,                 1.6276,                 1.6955,                 1.5973,                0.50299,                0.29633,                0.28188,                0.13674,                 2.0873,                 2.8363,                 2.0192,               0.009835,               0.009835,               0.009835
                      7,                  1.619,                 1.6576,                 1.5916,                0.42171,                0.41833,                0.42211,                0.18675,                  2.014,                 2.2786,                 1.8772,               0.009802,               0.009802,               0.009802
                      8,                 1.5798,                 1.6101,                 1.5697,                0.36214,                0.47564,                0.40139,                0.19087,                 1.9705,                 2.0849,                 1.7818,               0.009769,               0.009769,               0.009769
                      9,                 1.5792,                 1.6135,                 1.5678,                 0.5842,                0.56948,                0.57618,                0.27438,                 1.7612,                 1.8019,                 1.7088,               0.009736,               0.009736,               0.009736
                     10,                 1.5619,                 1.5736,                 1.5599,                0.34003,                0.33772,                0.31945,                0.15026,                 2.1043,                 2.5781,                  2.066,               0.009703,               0.009703,               0.009703
                     11,                 1.5528,                 1.5447,                 1.5594,                0.43584,                0.42524,                0.44073,                0.20528,                 2.1379,                 2.0041,                 1.9164,                0.00967,                0.00967,                0.00967
                     12,                 1.5438,                 1.5316,                 1.5527,                0.43482,                0.13455,                0.14518,                0.06622,                 2.7456,                 4.4872,                 2.4641,               0.009637,               0.009637,               0.009637
                     13,                 1.5337,                 1.5038,                 1.5474,                0.52853,                0.53991,                0.54516,                0.24988,                 1.9492,                 1.8588,                 1.7746,               0.009604,               0.009604,               0.009604
                     14,                  1.527,                 1.4944,                 1.5444,                0.52155,                0.50283,                 0.5337,                  0.266,                 1.9188,                 1.8252,                 1.7361,               0.009571,               0.009571,               0.009571
                     15,                 1.5078,                   1.48,                 1.5251,                0.51207,                0.58547,                0.58531,                0.28873,                 1.8258,                 1.6362,                 1.7353,               0.009538,               0.009538,               0.009538
                     16,                 1.5027,                 1.4704,                 1.5299,                0.53479,                0.33834,                0.37601,                0.18089,                  2.113,                 2.6034,                 2.0912,               0.009505,               0.009505,               0.009505
                     17,                 1.5079,                 1.4665,                  1.533,                0.58552,                0.59885,                0.63032,                0.29633,                 1.7984,                 1.5906,                 1.6994,               0.009472,               0.009472,               0.009472
                     18,                 1.4942,                 1.4268,                 1.5141,                0.55876,                0.56551,                0.57195,                0.27511,                 1.8582,                 1.6929,                 1.7725,               0.009439,               0.009439,               0.009439
                     19,                 1.4903,                  1.447,                 1.5271,                0.53294,                0.57628,                0.59318,                0.29522,                 1.7398,                 1.6003,                 1.7185,               0.009406,               0.009406,               0.009406
                     20,                 1.4911,                 1.4241,                 1.5245,                0.54159,                0.59385,                0.59146,                 0.2977,                 1.7445,                 1.6999,                 1.6918,               0.009373,               0.009373,               0.009373
                     21,                 1.4745,                 1.4035,                 1.5055,                0.52283,                 0.5645,                0.56702,                0.27491,                  1.819,                 1.7161,                 1.7445,                0.00934,                0.00934,                0.00934
                     22,                 1.4684,                  1.385,                 1.5006,                0.62545,                0.61487,                0.65116,                0.33179,                 1.7746,                 1.5326,                 1.6988,               0.009307,               0.009307,               0.009307
                     23,                 1.4585,                  1.384,                 1.5013,                0.54166,                0.53504,                 0.5524,                0.28939,                 1.7738,                 1.6376,                 1.6952,               0.009274,               0.009274,               0.009274
                     24,                 1.4646,                  1.377,                 1.5006,                0.55352,                0.55964,                0.57911,                0.28249,                 1.8704,                 1.6237,                 1.7417,               0.009241,               0.009241,               0.009241
                     25,                 1.4505,                  1.345,                 1.4845,                0.53752,                 0.4989,                0.52895,                0.24972,                 1.8597,                 1.7686,                 1.8161,               0.009208,               0.009208,               0.009208
                     26,                 1.4473,                 1.3591,                  1.498,                0.58902,                0.63889,                0.64531,                0.31058,                 1.8345,                 1.6122,                 1.7315,               0.009175,               0.009175,               0.009175
                     27,                 1.4558,                 1.3357,                 1.4949,                0.61744,                 0.6796,                0.67599,                0.35083,                 1.7009,                   1.47,                  1.629,               0.009142,               0.009142,               0.009142
                     28,                 1.4341,                 1.3378,                 1.4787,                0.48998,                0.54893,                 0.5531,                0.26743,                 2.0165,                 1.7499,                 1.8772,               0.009109,               0.009109,               0.009109
                     29,                 1.4259,                  1.328,                 1.4732,                0.58876,                0.59659,                0.61084,                0.30197,                 1.8564,                 1.5314,                 1.7713,               0.009076,               0.009076,               0.009076
                     30,                 1.4258,                 1.3046,                 1.4655,                0.59517,                0.61218,                0.62931,                0.32618,                 1.7744,                 1.4956,                 1.6807,               0.009043,               0.009043,               0.009043
                     31,                 1.4188,                 1.3137,                 1.4635,                0.56224,                0.55742,                0.58453,                0.29379,                 1.8594,                 1.5822,                 1.7734,                0.00901,                0.00901,                0.00901
                     32,                 1.4182,                 1.2791,                 1.4577,                0.62654,                0.61078,                0.64339,                0.33531,                  1.746,                 1.4508,                 1.6918,               0.008977,               0.008977,               0.008977
                     33,                 1.4174,                  1.282,                 1.4677,                0.60644,                0.64849,                0.64831,                0.33563,                 1.7324,                 1.4865,                 1.6603,               0.008944,               0.008944,               0.008944
                     34,                 1.4135,                  1.294,                 1.4643,                0.66369,                0.61218,                0.67182,                0.34786,                 1.7673,                 1.4182,                 1.7063,               0.008911,               0.008911,               0.008911
                     35,                 1.4071,                 1.2897,                 1.4524,                0.59505,                0.57351,                0.59735,                0.30114,                 1.8878,                 1.6377,                  1.757,               0.008878,               0.008878,               0.008878
                     36,                 1.3949,                 1.2704,                 1.4456,                0.57102,                0.60436,                0.62492,                0.31731,                 1.8733,                   1.54,                 1.7219,               0.008845,               0.008845,               0.008845
                     37,                 1.3867,                 1.2562,                  1.449,                 0.6176,                0.59274,                  0.627,                0.29442,                 1.8945,                 1.5844,                 1.7806,               0.008812,               0.008812,               0.008812
                     38,                 1.3831,                 1.2407,                 1.4417,                0.69595,                0.57722,                0.63692,                0.31997,                 1.8312,                 1.4939,                 1.7191,               0.008779,               0.008779,               0.008779
                     39,                 1.3782,                 1.2209,                 1.4329,                0.63083,                0.62126,                0.65176,                0.34082,                 1.7574,                 1.3948,                 1.6823,               0.008746,               0.008746,               0.008746
                     40,                 1.3808,                 1.2359,                 1.4368,                0.64482,                0.62712,                0.67039,                0.34709,                 1.7847,                 1.4398,                 1.6872,               0.008713,               0.008713,               0.008713
                     41,                 1.3763,                 1.2274,                 1.4304,                0.66902,                 0.6994,                0.70815,                0.37086,                 1.7815,                 1.3258,                  1.669,                0.00868,                0.00868,                0.00868
                     42,                 1.3709,                 1.2219,                 1.4331,                0.61766,                0.66502,                0.66721,                0.34752,                 1.7291,                 1.4101,                 1.6341,               0.008647,               0.008647,               0.008647
                     43,                 1.3712,                 1.2147,                 1.4222,                0.65074,                0.58218,                 0.6466,                  0.329,                 1.7643,                 1.4706,                 1.6799,               0.008614,               0.008614,               0.008614
                     44,                 1.3677,                 1.2046,                 1.4235,                0.56925,                0.60877,                0.63724,                0.33368,                 1.7855,                 1.4398,                 1.7023,               0.008581,               0.008581,               0.008581
                     45,                 1.3612,                 1.1993,                 1.4281,                 0.6884,                0.63572,                0.69698,                0.35616,                 1.7788,                 1.3906,                 1.6905,               0.008548,               0.008548,               0.008548
